filename,band,gain,exp_time,bg_mean,bg_median,bg_std,bg_mode,masked_frac
20260407T195247_037_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3636.209716796875,3629.5,503.6990966796875,3616.08056640625,0.1073211053002112
20260407T195251_009_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3629.173583984375,3621.5,501.4776306152344,3606.15283203125,0.10149099869254752
20260407T195254_981_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3627.703369140625,3619.0,501.7738952636719,3601.59326171875,0.12674746052499244
20260407T195258_952_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3619.530517578125,3611.0,501.20989990234375,3593.93896484375,0.09998868550739214
20260407T195302_924_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3618.350830078125,3611.0,503.236083984375,3596.29833984375,0.11535753796640853
20260407T195306_896_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3615.6884765625,3608.0,502.4486389160156,3592.623046875,0.10213529618827316
20260407T195310_868_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3621.992431640625,3615.0,503.9331970214844,3601.01513671875,0.09626433169063663
20260407T195314_840_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3624.328125,3616.0,502.9424133300781,3599.34375,0.1018052901538771
20260407T195318_811_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3623.318115234375,3615.0,502.71551513671875,3598.36376953125,0.10691252640048275
20260407T195322_783_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3622.354248046875,3614.5,503.8858642578125,3598.79150390625,0.10200957960374132
20260407T195326_755_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3627.72705078125,3619.5,503.03240966796875,3603.0458984375,0.10759453887156793
20260407T195330_727_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3628.897216796875,3620.5,504.37353515625,3603.70556640625,0.08707444936135975
20260407T195334_699_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3629.035400390625,3620.5,502.22747802734375,3603.42919921875,0.11141632304133561
20260407T195338_670_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3632.241943359375,3624.5,503.5183410644531,3609.01611328125,0.1004601226993865
20260407T195342_642_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3633.158935546875,3625.0,503.0398254394531,3608.68212890625,0.09564203459720406
20260407T195346_614_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3634.102783203125,3625.5,504.17138671875,3608.29443359375,0.10048840893090616
20260407T195350_586_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3637.73193359375,3630.0,504.21099853515625,3614.5361328125,0.10469677159810922
20260407T195354_558_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3647.415283203125,3639.5,502.8947448730469,3623.66943359375,0.10022126118877603
20260407T195358_529_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3633.467529296875,3625.5,503.20013427734375,3609.56494140625,0.1200719098863522
20260407T195402_501_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3633.08349609375,3625.0,502.3785095214844,3608.8330078125,0.09391028864527809
20260407T195406_473_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3640.87109375,3632.0,504.93878173828125,3614.2578125,0.1496907372020517
20260407T195410_445_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3628.52099609375,3620.0,502.6217956542969,3602.9580078125,0.09813122297093432
20260407T195414_417_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3614.14794921875,3606.5,503.23004150390625,3591.2041015625,0.09757178416976768
20260407T195418_388_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3610.5126953125,3602.5,502.50439453125,3586.474609375,0.10722367494719903
20260407T195422_360_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3611.2265625,3603.5,501.8352966308594,3588.046875,0.11229633913305843
20260407T195426_332_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3611.592529296875,3602.5,502.16973876953125,3584.31494140625,0.10678052398672433
20260407T195430_304_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3615.770263671875,3607.0,501.8961486816406,3589.45947265625,0.09727949311073117
20260407T195434_276_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3616.669189453125,3608.5,503.11456298828125,3592.16162109375,0.10490106104797345
20260407T195438_247_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3637.905029296875,3629.5,503.91351318359375,3612.68994140625,0.09704377451473398
20260407T195442_219_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3665.11279296875,3657.0,506.6810607910156,3640.7744140625,0.10554535854369909
20260407T195239_093_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5415.265625,5397.0,843.0811157226562,5360.46875,0.07633511012772805
20260407T195243_065_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5408.267578125,5394.0,841.44775390625,5365.46484375,0.1021101528713668
20260407T195247_037_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5398.80810546875,5383.0,841.40771484375,5351.3837890625,0.07783742331288343
20260407T195251_009_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5394.6953125,5379.0,839.5108032226562,5347.609375,0.07550223775520466
20260407T195254_981_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5391.12109375,5374.0,840.72607421875,5339.7578125,0.11471009755606959
20260407T195258_952_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5377.26611328125,5361.0,835.9575805664062,5328.4677734375,0.09363999798853465
20260407T195302_924_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5378.779296875,5362.0,840.8119506835938,5328.44140625,0.08565385195615005
20260407T195306_896_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5372.212890625,5357.0,837.8847045898438,5326.57421875,0.07339334204968319
20260407T195310_868_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5379.650390625,5364.0,837.7791748046875,5332.69921875,0.08833161520667807
20260407T195314_840_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5381.716796875,5366.0,838.836669921875,5334.56640625,0.07259189882329277
20260407T195318_811_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5378.59375,5363.0,837.7830810546875,5331.8125,0.08829075731670522
20260407T195322_783_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5379.7314453125,5362.0,839.5835571289062,5326.537109375,0.08016318012672231
20260407T195326_755_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5382.55419921875,5366.0,839.2462158203125,5332.8916015625,0.08113434074223072
