filename,band,x_centroid,y_centroid,ra_image,dec_image,flux,mag_inst,ra_gaia,dec_gaia,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,separation_arcsec,airmass,delta_m
20260202T180749_464_StackInput_DarkSubtracted_g_band.new,g,270.9946249630974,10.23179945580768,100.16251899657388,17.144693812627086,19212.740234375,-10.708972930908203,100.1623043561174,17.14449718041631,13.443441,13.678184,13.059092,1.0228773255484254,,
20260202T180749_464_StackInput_DarkSubtracted_g_band.new,g,248.42267467052807,15.546080813285906,100.17767860048356,17.161352772469154,29874.240234375,-11.188241958618164,100.1775831954099,17.161247788704507,12.695286,12.999553,12.226466,0.5005329647221092,,
20260202T180749_464_StackInput_DarkSubtracted_g_band.new,g,374.9883108100077,20.035918899104367,100.07271941545542,17.094442510104763,34267.7421875,-11.337213516235352,100.07291922372376,17.09409116661371,12.551494,12.823471,12.107242,1.43962229710964,,
20260202T180749_464_StackInput_DarkSubtracted_g_band.new,g,173.44401319253404,48.07277368205992,100.21938443920628,17.228191985774323,27441.740234375,-11.096029281616213,100.21909619404305,17.228058520127323,12.835247,13.117144,12.390284,1.1014473307381425,,
20260202T180749_464_StackInput_DarkSubtracted_g_band.new,g,238.2667356634073,69.13445383538064,100.15467723157904,17.20845816233824,144917.734375,-12.902803421020508,100.1546480232536,17.20834151625002,10.994853,11.194761,10.6244,0.4317714199251824,,
20260202T180749_464_StackInput_DarkSubtracted_g_band.new,g,425.2961554851959,77.68788482055069,99.9984405756225,17.11101955103741,27886.740234375,-11.113494873046877,99.99833101042792,17.110845979234565,12.71223,12.995205,12.270762,0.7297663203252837,,
20260202T180749_464_StackInput_DarkSubtracted_g_band.new,g,433.0570763941473,90.20264991962787,99.98486772270608,17.11637298520139,49640.7421875,-11.739596366882324,99.98480960188722,17.116052902495056,12.290507,12.496484,11.940127,1.1695200908421712,,
20260202T180749_464_StackInput_DarkSubtracted_g_band.new,g,246.97703430991388,92.78165681648464,100.1338514674313,17.221908730418427,36050.7421875,-11.39228630065918,100.13388157932268,17.221768066941888,12.7528105,13.071036,12.26663,0.516865945247643,,
20260202T180749_464_StackInput_DarkSubtracted_g_band.new,g,344.253814317295,95.63964565021185,100.05350503979338,17.170006204045432,100638.2421875,-12.506908416748049,100.0534232032297,17.169994416741382,11.532117,12.129661,10.7950945,0.284662276628961,,
20260202T180749_464_StackInput_DarkSubtracted_g_band.new,g,349.7223558807596,109.97799048616277,100.0407220023898,17.178050235688847,24635.240234375,-10.978891372680664,100.04109065840072,17.177936087512716,12.967419,13.2533245,12.523627,1.3328868788684345,,
