filename,bg_mean,bg_median,bg_std,bg_mode,masked_frac
20260202T182413_456_StackInput_DarkSubtracted_g_band.fits,238.8548126220703,231.0,117.41737365722656,215.29037475585938,0.12140136276777633
20260202T182413_456_StackInput_DarkSubtracted_g_band_g_band.fits,241.01441955566406,237.25,85.86780548095703,229.72116088867188,0.08210550135773911
20260202T182417_427_StackInput_DarkSubtracted_g_band.fits,238.84832763671875,231.5,116.95301055908203,216.8033447265625,0.14848071507593283
20260202T182421_399_StackInput_DarkSubtracted_g_band.fits,238.85031127929688,231.0,117.33560943603516,215.29937744140625,0.13045924268329478
20260202T182425_371_StackInput_DarkSubtracted_g_band.fits,238.95843505859375,231.5,117.13072204589844,216.5831298828125,0.1254494367897013
20260202T182429_343_StackInput_DarkSubtracted_g_band.fits,239.67080688476562,232.0,117.61001586914062,216.65838623046875,0.1193333249522277
