filename,x_centroid,y_centroid,ra_image,dec_image,flux,mag_inst,ra_gaia,dec_gaia,phot_g_mean_mag,separation_arcsec
20260202T180749_464_StackInput_DarkSubtracted_g_band.new,270.9946249630974,10.23179945580768,100.16251899657387,17.144693812627086,19212.740234375,-10.708972930908203,100.16230435611739,17.14449718041631,13.443441,1.0228773255484254
20260202T180749_464_StackInput_DarkSubtracted_g_band.new,248.42267467052812,15.546080813285906,100.17767860048356,17.161352772469154,29874.240234375,-11.188241958618164,100.1775831954099,17.161247788704507,12.695286,0.5005329647221092
20260202T180749_464_StackInput_DarkSubtracted_g_band.new,374.9883108100077,20.035918899104367,100.07271941545542,17.094442510104763,34267.7421875,-11.337213516235352,100.07291922372376,17.09409116661371,12.551494,1.43962229710964
20260202T180749_464_StackInput_DarkSubtracted_g_band.new,173.44401319253404,48.07277368205992,100.21938443920627,17.228191985774323,27441.740234375,-11.096029281616211,100.21909619404305,17.228058520127323,12.835247,1.1014473307381425
20260202T180749_464_StackInput_DarkSubtracted_g_band.new,238.2667356634073,69.13445383538064,100.15467723157903,17.20845816233824,144917.734375,-12.902803421020508,100.15464802325359,17.20834151625002,10.994853,0.4317714199251824
20260202T180749_464_StackInput_DarkSubtracted_g_band.new,425.2961554851959,77.68788482055069,99.9984405756225,17.11101955103741,27886.740234375,-11.113494873046875,99.99833101042792,17.110845979234565,12.71223,0.7297663203252837
20260202T180749_464_StackInput_DarkSubtracted_g_band.new,433.0570763941473,90.20264991962789,99.98486772270608,17.11637298520139,49640.7421875,-11.739596366882324,99.98480960188722,17.116052902495056,12.290507,1.1695200908421712
20260202T180749_464_StackInput_DarkSubtracted_g_band.new,246.97703430991388,92.78165681648464,100.1338514674313,17.221908730418427,36050.7421875,-11.39228630065918,100.13388157932268,17.221768066941888,12.7528105,0.516865945247643
20260202T180749_464_StackInput_DarkSubtracted_g_band.new,344.253814317295,95.63964565021185,100.05350503979338,17.170006204045432,100638.2421875,-12.506908416748047,100.0534232032297,17.169994416741382,11.532117,0.284662276628961
20260202T180749_464_StackInput_DarkSubtracted_g_band.new,349.7223558807596,109.97799048616277,100.04072200238981,17.178050235688847,24635.240234375,-10.978891372680664,100.04109065840072,17.177936087512716,12.967419,1.3328868788684345
20260202T180749_464_StackInput_DarkSubtracted_g_band.new,116.1233117585063,111.96772160304904,100.22854608651689,17.309492839617608,125457.2421875,-12.746238708496094,100.22848796181432,17.309533409979863,11.381976,0.2474682923341763
20260202T180749_464_StackInput_DarkSubtracted_g_band.new,309.08271277339884,125.9476297451784,100.06427930499973,17.21301454422696,99917.2421875,-12.499101638793945,100.06425000145052,17.212901774780708,11.472564,0.4182891557284156
20260202T180749_464_StackInput_DarkSubtracted_g_band.new,558.786498313341,135.75923159581498,99.85664560706891,17.081537161622677,57194.2421875,-11.893381118774414,99.85673203521021,17.081547934668,12.048694,0.29993412995480184
20260202T180749_464_StackInput_DarkSubtracted_g_band.new,307.070315330735,138.18227599480267,100.05877236320683,17.223595871844466,40449.7421875,-11.517290115356445,100.05893198252701,17.223628783244376,12.845876,0.5615035781336188
20260202T180749_464_StackInput_DarkSubtracted_g_band.new,366.2906392711072,137.5716881749781,100.01122899421792,17.190163600495886,50667.2421875,-11.761817932128906,100.01124608317292,17.19025578211478,12.246778,0.3370179790492885
20260202T180749_464_StackInput_DarkSubtracted_g_band.new,389.04783228577725,142.31392034642934,99.99005778138924,17.181160337861805,165249.21875,-13.04534912109375,99.98997526703188,17.18094768188187,11.685622,0.816470861313171
20260202T180749_464_StackInput_DarkSubtracted_g_band.new,44.69913299312429,143.84920946632258,100.26778126893474,17.37385198128283,29082.240234375,-11.159069061279297,100.2679197447883,17.37403804038458,12.798709,0.8215870635261227
20260202T180749_464_StackInput_DarkSubtracted_g_band.new,322.19344501544737,148.5122409794982,100.04051447620613,17.223168004596754,36540.7421875,-11.406944274902344,100.04057392882416,17.223350490626327,13.236344,0.6880227806842627
20260202T180749_464_StackInput_DarkSubtracted_g_band.new,39.8420829198765,150.64960180724148,100.26775096273536,17.381814475363296,90080.7421875,-12.386579513549805,100.26775947541338,17.381931427595763,11.490594,0.4220425906468966
20260202T180749_464_StackInput_DarkSubtracted_g_band.new,279.4256733511848,153.1662657125166,100.07239686254024,17.25056632008157,52902.7421875,-11.808695793151855,100.07239156848938,17.25077630041139,12.506996,0.7561482805471839
20260202T180749_464_StackInput_DarkSubtracted_g_band.new,246.9132786049983,164.04563063514996,100.09235608278135,17.277069421674497,97222.2421875,-12.469414710998535,100.09232571278973,17.27706416862878,11.572528,0.10609783962168343
20260202T180749_464_StackInput_DarkSubtracted_g_band.new,425.78681821507,165.26014604707515,99.94695749989886,17.1784385285325,194962.234375,-13.224876403808594,99.94688139154782,17.17836308500982,10.713533,0.37720933025925735
20260202T180749_464_StackInput_DarkSubtracted_g_band.new,494.0565511265906,167.02030352167324,99.8907262941875,17.141764906224143,38931.2421875,-11.47574520111084,99.8905543117125,17.14146449217998,12.671743,1.2327420796724493
20260202T180749_464_StackInput_DarkSubtracted_g_band.new,312.9609899815747,176.77194052510532,100.03149759908128,17.25015885371836,82994.2421875,-12.297619819641113,100.0314318745288,17.250159483121354,11.82395,0.22597689553249545
20260202T180749_464_StackInput_DarkSubtracted_g_band.new,366.95382856943974,177.99529449303685,99.98710811351789,17.221046705503305,91699.2421875,-12.405914306640625,99.98699448778305,17.22103952981082,11.553089,0.3915677289055768
