filename,band,gain,exp_time,bg_median,bg_std,flux,m_sky,sigma_m
20260407T195239_093_StackInput_DarkSubtracted_b_band.new,blue,0.1287112,3.971754,5401.0,842.2484741210938,175.02825985698007,18.193498207357777,0.1693073816614093
20260407T195243_065_StackInput_DarkSubtracted_b_band.new,blue,0.1287112,3.971754,5394.0,839.0789794921875,174.80141338058704,18.19490629526858,0.1688891449823263
20260407T195247_037_StackInput_DarkSubtracted_b_band.new,blue,0.1287112,3.971754,5385.0,840.2158203125,174.50975362522453,18.196719381475763,0.16940061580562327
20260407T195251_009_StackInput_DarkSubtracted_b_band.new,blue,0.1287112,3.971754,5382.0,840.8060302734375,174.41253370677038,18.19732441699142,0.16961410387734507
20260407T195254_981_StackInput_DarkSubtracted_b_band.new,blue,0.1287112,3.971754,5377.0,839.80908203125,174.25050050934675,18.198333559367967,0.16957052638298833
20260407T195258_952_StackInput_DarkSubtracted_b_band.new,blue,0.1287112,3.971754,5366.0,840.5719604492188,173.8940274750148,18.20055697972096,0.17007248927687604
20260407T195302_924_StackInput_DarkSubtracted_b_band.new,blue,0.1287112,3.971754,5363.0,838.4628295898438,173.79680755656065,18.20116415815309,0.16974064778774817
20260407T195306_896_StackInput_DarkSubtracted_b_band.new,blue,0.1287112,3.971754,5362.0,839.4776611328125,173.76440091707593,18.20136662644361,0.16997778752180054
20260407T195310_868_StackInput_DarkSubtracted_b_band.new,blue,0.1287112,3.971754,5366.0,838.3861083984375,173.8940274750148,18.20055697972096,0.16963022696388066
20260407T195314_840_StackInput_DarkSubtracted_b_band.new,blue,0.1287112,3.971754,5365.0,840.4632568359375,173.8616208355301,18.200759334805838,0.17008219160238164
20260407T195318_811_StackInput_DarkSubtracted_b_band.new,blue,0.1287112,3.971754,5364.0,840.5703125,173.82921419604537,18.20096172761186,0.1701355682850951
20260407T195322_783_StackInput_DarkSubtracted_b_band.new,blue,0.1287112,3.971754,5368.0,839.0220336914062,173.95884075398425,18.200152382658423,0.16969564492897912
20260407T195326_755_StackInput_DarkSubtracted_b_band.new,blue,0.1287112,3.971754,5373.0,839.0526123046875,174.12087395140787,18.19914154913903,0.1695439086505117
20260407T195330_727_StackInput_DarkSubtracted_b_band.new,blue,0.1287112,3.971754,5374.0,841.5892944335938,174.1532805908926,18.198939495317887,0.17002484126657103
