filename,bg_mean,bg_median,bg_std,bg_mode,masked_frac
20260202T180749_464_StackInput_DarkSubtracted_g_band.new,10405.2841796875,10399.5,818.9302368164062,10387.931640625,0.2954182590767374
20260202T180851_328_StackInput_DarkSubtracted_g_band.new,6888.337890625,6880.5,657.4987182617188,6864.82421875,0.2499937141707734
20260202T180923_002_StackInput_DarkSubtracted_g_band.new,6874.9697265625,6869.0,659.7576293945312,6857.060546875,0.42448519058634215
20260202T181110_269_StackInput_DarkSubtracted_g_band.new,5098.7353515625,5092.0,560.7494506835938,5078.529296875,0.331222342351403
20260202T181320_905_StackInput_DarkSubtracted_g_band.new,26936.1875,26931.5,1323.7232666015625,26922.125,0.07347191491501559
20260202T181457_937_StackInput_DarkSubtracted_g_band.new,27881.041015625,27874.0,1348.9227294921875,27859.91796875,0.06258485869455899
20260202T181609_569_StackInput_DarkSubtracted_g_band.new,13139.314453125,13133.5,918.2001342773438,13121.87109375,0.08944734989439806
20260202T181750_202_StackInput_DarkSubtracted_g_band.new,6590.92333984375,6584.0,638.057861328125,6570.1533203125,0.10737453484863724
20260202T181944_118_StackInput_DarkSubtracted_g_band.new,5533.28173828125,5528.0,584.2818603515625,5517.4365234375,0.12356054510711054
20260202T182115_708_StackInput_DarkSubtracted_g_band.new,4833.7861328125,4828.0,548.2911987304688,4816.427734375,0.22087461027858796
